年次,市区町村コード,全国，都道府県，市区町村,夜間人口
2020年,43424,小国町,6590
2020年,43425,産山村,1382
2020年,43428,高森町,5789
2020年,43432,西原村,6426
2020年,43433,南阿蘇村,9836
2020年,43441,御船町,16303
2020年,43442,嘉島町,9547
2020年,43443,益城町,32510
2020年,43444,甲佐町,10132
2020年,43447,山都町,13503
2020年,43468,氷川町,11094
2020年,43482,芦北町,15681
2020年,43484,津奈木町,4254
2020年,43501,錦町,10288
2020年,43505,多良木町,9076
2020年,43506,湯前町,3627
2020年,43507,水上村,2033
2020年,43510,相良村,4070
2020年,43511,五木村,931
2020年,43512,山江村,3238
2020年,43513,球磨村,2433
2020年,43514,あさぎり町,14676
2020年,43531,苓北町,7114
2020年,44000,大分県,1123852
2020年,44201,大分市,475614
2020年,44202,別府市,115321
2020年,44203,中津市,82863
2020年,44204,日田市,62657
2020年,44205,佐伯市,66851
2020年,44206,臼杵市,36158
2020年,44207,津久見市,16100
2020年,44208,竹田市,20332
2020年,44209,豊後高田市,22112
2020年,44210,杵築市,27999
2020年,44211,宇佐市,52771
2020年,44212,豊後大野市,33695
2020年,44213,由布市,32772
2020年,44214,国東市,26232
2020年,44322,姫島村,1725
2020年,44341,日出町,27723
2020年,44461,九重町,8541
2020年,44462,玖珠町,14386
2020年,45000,宮崎県,1069576
2020年,45201,宮崎市,401339
2020年,45202,都城市,160640
2020年,45203,延岡市,118394
2020年,45204,日南市,50848
2020年,45205,小林市,43670
2020年,45206,日向市,59629
2020年,45207,串間市,16822
2020年,45208,西都市,28610
2020年,45209,えびの市,17638
2020年,45341,三股町,25591
2020年,45361,高原町,8639
2020年,45382,国富町,18398
2020年,45383,綾町,6934
2020年,45401,高鍋町,19922
2020年,45402,新富町,16564
2020年,45403,西米良村,1000
2020年,45404,木城町,4895
2020年,45405,川南町,15194
2020年,45406,都農町,9906
2020年,45421,門川町,17379
2020年,45429,諸塚村,1486
2020年,45430,椎葉村,2503
2020年,45431,美郷町,4826
2020年,45441,高千穂町,11642
2020年,45442,日之影町,3635
2020年,45443,五ヶ瀬町,3472
2020年,46000,鹿児島県,1588256
2020年,46201,鹿児島市,593128
2020年,46203,鹿屋市,101096
2020年,46204,枕崎市,20033
2020年,46206,阿久根市,19270
2020年,46208,出水市,51994
2020年,46210,指宿市,39011
2020年,46213,西之表市,14708
2020年,46214,垂水市,13819
2020年,46215,薩摩川内市,92403
2020年,46216,日置市,47153
2020年,46217,曽於市,33310
2020年,46218,霧島市,123135
2020年,46219,いちき串木野市,27490
2020年,46220,南さつま市,32887
2020年,46221,志布志市,29329
2020年,46222,奄美市,41390
2020年,46223,南九州市,33080
2020年,46224,伊佐市,24453
2020年,46225,姶良市,76348
2020年,46303,三島村,405
2020年,46304,十島村,740
2020年,46392,さつま町,20243
2020年,46404,長島町,9705
2020年,46452,湧水町,9119
2020年,46468,大崎町,12385
2020年,46482,東串良町,6237
2020年,46490,錦江町,6944
2020年,46491,南大隅町,6481
2020年,46492,肝付町,14227
2020年,46501,中種子町,7539
2020年,46502,南種子町,5445
2020年,46505,屋久島町,11858
2020年,46523,大和村,1364
2020年,46524,宇検村,1621
2020年,46525,瀬戸内町,8546
2020年,46527,龍郷町,5817
2020年,46529,喜界町,6629
2020年,46530,徳之島町,10147
2020年,46531,天城町,5517
2020年,46532,伊仙町,6139
2020年,46533,和泊町,6246
2020年,46534,知名町,5750
2020年,46535,与論町,5115
2020年,47000,沖縄県,1467480
2020年,47201,那覇市,317625
2020年,47205,宜野湾市,100125
2020年,47207,石垣市,47637
2020年,47208,浦添市,115690
2020年,47209,名護市,63554
2020年,47210,糸満市,61007
2020年,47211,沖縄市,142752
2020年,47212,豊見城市,64612
2020年,47213,うるま市,125303
2020年,47214,宮古島市,52931
2020年,47215,南城市,44043
2020年,47301,国頭村,4517
2020年,47302,大宜味村,3092
2020年,47303,東村,1598
2020年,47306,今帰仁村,8894
2020年,47308,本部町,12530
2020年,47311,恩納村,10869
2020年,47313,宜野座村,5833
2020年,47314,金武町,10806
2020年,47315,伊江村,4118
2020年,47324,読谷村,41206
2020年,47325,嘉手納町,13521
2020年,47326,北谷町,28201
2020年,47327,北中城村,17969
2020年,47328,中城村,22157
2020年,47329,西原町,34984
2020年,47348,与那原町,19695
2020年,47350,南風原町,40440
2020年,47353,渡嘉敷村,718
2020年,47354,座間味村,892
2020年,47355,粟国村,683
2020年,47356,渡名喜村,346
2020年,47357,南大東村,1285
2020年,47358,北大東村,590
2020年,47359,伊平屋村,1126
2020年,47360,伊是名村,1322
2020年,47361,久米島町,7192
2020年,47362,八重瀬町,30941
2020年,47375,多良間村,1058
2020年,47381,竹富町,3942
2020年,47382,与那国町,1676
