都市コード,都市名,国名
FIL,FILLMORE,United States of America
FIN,FINSCHHAFEN,Papua New Guinea
FIZ,FITZROY CROSSING,Australia
FJR,FUJAIRAH,United Arab Emirates
FKB,KARLSRUHE/BADEN-BADEN,Germany
FKI,KISANGANI,"Congo, Democratic Republic of"
FKJ,FUKUI,Japan
FKL,FRANKLIN,United States of America
FKQ,FAK FAK,Indonesia
FKS,FUKUSHIMA,Japan
FLA,FLORENCIA,Colombia
FLB,FLORIANO,Brazil
FLF,FLENSBURG,Germany
FLI,FLATEYRI,Iceland
FLJ,FALLS BAY,United States of America
FLL,FORT LAUDERDALE,United States of America
FLM,FILADELFIA,Paraguay
FLN,FLORIANOPOLIS,Brazil
FLO,FLORENCE,United States of America
FLR,FLORENCE,Italy
FLS,FLINDERS ISLAND,Australia
FLT,FLAT,United States of America
FLW,FLORES ISLAND,Portugal (including Azores & Madeira)
FLX,FALLON,United States of America
FLY,FINLEY,Australia
FLZ,SIBOLGA,Indonesia
FMA,FORMOSA,Argentina
FMH,FALMOUTH,United States of America
FMI,KALEMIE,"Congo, Democratic Republic of"
FMM,MEMMINGEN,Germany
FMN,FARMINGTON,United States of America
FMO,MUNSTER,Germany
FMS,FORT MADISON,United States of America
FMY,FORT MYERS,United States of America
FNA,FREETOWN,Sierra Leone
FNC,FUNCHAL,Portugal (including Azores & Madeira)
FNE,FANE,Papua New Guinea
FNG,FADA N'GOURMA,Burkina Faso
FNH,FINCHA’A,Ethiopia
FNI,NIMES,France
FNJ,PYONGYANG,Korea (Dem. People’s Rep. of)
FNL,FORT COLLINS/LOVELAND,United States of America
FNR,FUNTER BAY,United States of America
FNT,FLINT,United States of America
FOA,FOULA,United Kingdom
FOC,FUZHOU,"China, People’s Republic of"
FOD,FORT DODGE,United States of America
FOG,FOGGIA,Italy
FOK,WESTHAMPTON BEACH,United States of America
FOM,FOUMBAN,Cameroon
FON,FORTUNA,Costa Rica
FOO,NUMFOOR,Indonesia
FOR,FORTALEZA,Brazil
FOT,FORSTER,Australia
FOU,FOUGAMOU,Gabon
FOY,FOYA,Liberia
FPO,FREEPORT,Bahamas
FPR,FORT PIERCE,United States of America
FRA,FRANKFURT,Germany
FRB,FORBES,Australia
FRC,FRANCA,Brazil
FRD,FRIDAY HARBOR,United States of America
FRE,FERA ISLAND,Solomon Islands
FRG,FARMINGDALE,United States of America
FRH,FRENCH LICK,United States of America
FRJ,FREJUS,France
FRK,FREGATE ISLAND,Seychelles
FRL,FORLI,Italy
FRM,FAIRMONT,United States of America
FRO,FLORO,Norway
FRP,FRESH WATER BAY,United States of America
FRQ,FERAMIN,Papua New Guinea
FRS,FLORES,Guatemala
FRU,BISHKEK,Kyrgyzstan
FRW,FRANCISTOWN,Botswana
FSC,FIGARI,France
FSD,SIOUX FALLS,United States of America
FSM,FORT SMITH,United States of America
FSP,ST-PIERRE,St. Pierre and Miquelon
FSZ,SHIZUOKA,Japan
FTA,FUTUNA ISLAND,Vanuatu
FTE,EL CALAFATE,Argentina
FTL,FORTUNA LEDGE,United States of America
FTU,TOLANARO,Madagascar
FTX,OWANDO,Congo
FUB,FULLEBORN,Papua New Guinea
FUE,FUERTEVENTURA,Spain and Canary Islands
FUG,FUYANG,"China, People’s Republic of"
FUJ,FUKUE,Japan
FUK,FUKUOKA,Japan
FUL,FULLERTON,United States of America
FUN,FUNAFUTI ATOLL,Tuvalu
FUO,FUOSHAN,"China, People’s Republic of"
FUT,FUTUNA ISLAND,Wallis and Futuna Islands
FVL,FLORA VALLEY,Australia
FVM,FUVAHMULAH ISLAND,Maldives
FWA,FORT WAYNE,United States of America
FWL,FAREWELL,United States of America
FWM,FORT WILLIAM,United Kingdom
FYJ,FUYUAN,"China, People’s Republic of"
FYN,FUYUN,"China, People’s Republic of"
FYT,FAYA-LARGEAU,Chad
FYU,FORT YUKON,United States of America
FYV,FAYETTEVILLE,United States of America
GAA,GUAMAL,Colombia
GAC,GRACIAS,Honduras
GAD,GADSDEN,United States of America
GAE,GABES,Tunisia
GAF,GAFSA,Tunisia
GAH,GAYNDAH,Australia
GAJ,YAMAGATA,Japan
GAL,GALENA,United States of America
GAM,GAMBELL,United States of America
GAN,GAN ISLAND,Maldives
GAO,GUANTANAMO,Cuba
GAQ,GAO,Mali
GAR,GARAINA,Papua New Guinea
GAS,GARISSA,Kenya
GAU,GUWAHATI,India (including Andaman Isl.)
GAW,GANGAW,Myanmar
GAX,GAMBA,Gabon
GAY,GAYA,India (including Andaman Isl.)
GAZ,GUASOPA,Papua New Guinea
GBA,BIG BAY,Vanuatu
GBB,GABALA,Azerbaijan
GBC,GASUKE,Papua New Guinea
GBD,GREAT BEND,United States of America
GBE,GABORONE,Botswana
GBF,NEGARBO,Papua New Guinea
GBG,GALESBURG,United States of America
GBJ,MARIE GALANTE,Guadeloupe
GBK,GBANGBATOK,Sierra Leone
GBL,SOUTH GOULBURN ISLAND,Australia
GBM,GARBAHAREY,Somalia
GBT,GORGAN,Iran (Islamic Republic of)
GBU,KHASHM EL GIRBA,Sudan
GBV,GIBB RIVER,Australia
GBW,GINBATA,Australia
GBZ,GREAT BARRIER ISLAND,New Zealand
GCA,GUACAMAYAS,Colombia
GCC,GILLETTE,United States of America
GCI,GUERNSEY,United Kingdom
GCK,GARDEN CITY,United States of America
GCM,GRAND CAYMAN,Cayman Islands
GCN,GRAND CANYON,United States of America
GDD,GORDON DOWNS,Australia
GDE,GODE,Ethiopia
GDL,GUADALAJARA,Mexico
GDN,GDANSK,Poland
GDO,GUASDUALITO,Venezuela
GDP,GUADALUPE,Brazil
GDQ,GONDER,Ethiopia
GDT,GRAND TURK,Turks and Caicos Islands
GDV,GLENDIVE,United States of America
GDX,MAGADAN,Russia (in Asia)
GDZ,GELENDZHIK,Russia (in Europe)
GEB,GEBE,Indonesia
GEC,GECITKALE,Cyprus
GEF,GEVA,Solomon Islands
GEG,SPOKANE,United States of America
GEL,SANTO ANGELO,Brazil
GEM,MONGOMO,Equatorial Guinea
GEO,GEORGETOWN,Guyana
GER,NUEVA GERONA,Cuba
GES,GENERAL SANTOS,Philippines
GET,GERALDTON,Australia
GEV,GALLIVARE,Sweden
GEW,GEWOIA,Papua New Guinea
GEX,GEELONG,Australia
GFB,TOGIAK FISH,United States of America
GFE,GRENFELL,Australia
GFF,GRIFFITH,Australia
GFK,GRAND FORKS,United States of America
GFL,GLEN FALLS,United States of America
GFN,GRAFTON,Australia
GFO,BARTICA,Guyana
GFY,GROOTFONTEIN,Namibia
GGC,LUMBALA,Angola
GGD,GREGORY DOWNS,Australia
GGF,ALMEIRIM,Brazil
GGG,GLADEWATER,United States of America
GGG,KILGORE,United States of America
GGG,LONGVIEW,United States of America
GGM,KAKAMEGA,Kenya
GGN,GAGNOA,Cote d’Ivoire
GGO,GUIGLO,Cote d’Ivoire
GGR,GAROWE,Somalia
GGS,GOBERNADOR GREGORES,Argentina
GGT,GEORGE TOWN,Bahamas
GGW,GLASGOW,United States of America
GHA,GHARDAIA,Algeria
GHB,GOVERNORS HARBOUR,Bahamas
GHC,GREAT HARBOUR,Bahamas
GHD,GHIMBI,Ethiopia
GHE,GARACHINE,Panama
GHT,GHAT,Libya
GHU,GUALEGUAYCHU,Argentina
GIB,GIBRALTAR,Gibraltar
GIC,BOIGU ISLAND,Australia
GID,GITEGA,Burundi
GII,SIGUIRI,Guinea
GIL,GILGIT,Pakistan
GIM,MIELE MIMBALE,Gabon
GIS,GISBORNE,New Zealand
GIY,GIYANI,South Africa
GIZ,JAZAN,Saudi Arabia
GJA,GUANAJA,Honduras
GJL,JIJEL,Algeria
GJM,GUAJARA-MIRIM,Brazil
GJR,GJOGUR,Iceland
GJT,GRAND JUNCTION,United States of America
GKA,GOROKA,Papua New Guinea
GKK,KOODDOO ISLAND,Maldives
GKL,GREAT KEPPEL ISLAND,Australia
GKN,GULKANA,United States of America
GKO,KONGOBOUMBA,Gabon
GLA,GLASGOW,United Kingdom
GLC,GELADI,Ethiopia
GLD,GOODLAND,United States of America
GLF,GOLFITO,Costa Rica
GLG,GLENGYLE,Australia
GLH,GREENVILLE,United States of America
GLI,GLEN INNES,Australia
GLK,GALCAIO,Somalia
GLN,GUELIMIME,Morocco
GLO,GLOUCESTER/CHELTENHAM,United Kingdom
GLP,GULGUBIP,Papua New Guinea
GLS,GALVESTON,United States of America
GLT,GLADSTONE,Australia
GLU,GELEPHU,Bhutan
GLV,GOLOVIN,United States of America
GLX,GALELA,Indonesia
GMA,GEMENA,"Congo, Democratic Republic of"
GMB,GAMBELA,Ethiopia
GME,GOMEL,Belarus
GMI,GASMATA ISLAND,Papua New Guinea
GMM,GAMBOMA,Congo
GMN,GREYMOUTH,New Zealand
GMQ,GOLOG,"China, People’s Republic of"
GMR,TOTEGEGIE,French Polynesia
GMZ,SAN SEBASTIAN DE GOMERA,Spain and Canary Islands
GNA,GRODNO,Belarus
GND,GRENADA,Grenada
GNE,GENT,Belgium
GNI,LYUDAO (GREEN ISLAND),Chinese Taipei
GNM,GUANAMBI,Brazil
GNR,GENERAL ROCA,Argentina
GNS,GUNUNG SITOLI,Indonesia
GNU,GOODNEW BAY,United States of America
GNV,GAINESVILLE,United States of America
GNZ,GHANZI,Botswana
GOA,GENOA,Italy
GOB,GOBA,Ethiopia
GOC,GORA,Papua New Guinea
GOE,GONALIA,Papua New Guinea
GOH,NUUK,Greenland
GOI,GOA,India (including Andaman Isl.)
GOJ,NIZHNY NOVGOROD,Russia (in Europe)
GOM,GOMA,"Congo, Democratic Republic of"
GON,GROTON,United States of America
GON,NEW LONDON,United States of America
GOO,GOONDIWINDI,Australia
GOP,GORAKHPUR,India (including Andaman Isl.)
GOQ,GOLMUD,"China, People’s Republic of"
GOR,GORE,Ethiopia
GOS,GOSFORD,Australia
GOT,GOTHENBURG,Sweden
GOU,GAROUA,Cameroon
GOV,NHULUNBUY,Australia
GOZ,GORNA ORYAHOVITSA,Bulgaria
GPA,PATRAI,Greece
GPB,GUARAPUAVA,Brazil
GPI,GUAPI,Colombia
GPL,GUAPILES,Costa Rica
GPN,GARDEN POINT,Australia
GPO,GENERAL PICO,Argentina
GPS,BALTRA ISLAND,Ecuador
GPT,GULFPORT/BILOXI,United States of America
GPZ,GRAND RAPIDS,United States of America
GQQ,GALION,United States of America
GRB,GREEN BAY,United States of America
GRC,GRAND CESS,Liberia
GRD,GREENWOOD,United States of America
GRG,GARDEZ,Afghanistan
GRH,GARUAHI,Papua New Guinea
GRI,GRAND ISLAND,United States of America
GRJ,GEORGE,South Africa
GRL,GARASA,Papua New Guinea
GRO,GERONA,Spain and Canary Islands
GRP,GURUPI,Brazil
GRQ,GRONINGEN,Netherlands
GRR,GRAND RAPIDS,United States of America
GRS,GROSSETO,Italy
GRV,GROZNY,Russia (in Europe)
GRW,GRACIOSA ISLAND,Portugal (including Azores & Madeira)
GRX,GRANADA,Spain and Canary Islands
GRY,GRIMSEY,Iceland
GRZ,GRAZ,Austria
GSA,LONG PASIA,Malaysia
GSC,GASCOYNE JUNCTION,Australia
GSM,GHESHM ISLAND,Iran (Islamic Republic of)
GSO,GREENSBORO,United States of America
GSO,HIGH POINT,United States of America
GSP,GREENVILLE,United States of America
GSQ,SHARK EL-OWAINAT,Egypt
GSR,GARDO,Somalia
GSS,SABIE,South Africa
GST,GUSTAVUS,United States of America
GSU,GEDAREF,Sudan
GTA,GATOKAE,Solomon Islands
GTB,GENTING,Malaysia
GTE,GROOTE EYLANDT,Australia
GTF,GREAT FALLS,United States of America
GTO,GORONTALO,Indonesia
GTT,GEORGETOWN,Australia
GTW,ZLIN,Czech Republic
GTZ,GRUMETI,Tanzania
GUA,GUATEMALA CITY,Guatemala
GUB,GUERRERO NEGRO,Mexico
GUC,GUNNISON,United States of America
GUD,GOUNDAM,Mali
GUF,GULF SHORES,United States of America
GUG,GUARI,Papua New Guinea
GUH,GUNNEDAH,Australia
GUI,GUIRIA,Venezuela
GUL,GOULBURN,Australia
GUM,GUAM,Guam
GUO,GURIEL,Somalia
GUP,GALLUP,United States of America
GUQ,GUANARE,Venezuela
GUR,ALOTAU,Papua New Guinea
GUU,GRUNDARFJORDUR,Iceland
GUV,MOUGULU,Papua New Guinea
GUW,ATYRAU,Kazakhstan
GUX,GUNA,India (including Andaman Isl.)
GUZ,GUARAPARI,Brazil
GVA,GENEVA,Switzerland
GVI,GREEN RIVER,Papua New Guinea
GVP,GREENVALE,Australia
GVR,GOVERNADOR VALADARES,Brazil
GVT,GREENVILLE,United States of America
GVX,GAVLE,Sweden
GWA,GWA,Myanmar
GWD,GWADAR,Pakistan
GWE,GWERU,Zimbabwe
GWL,GWALIOR,India (including Andaman Isl.)
GWO,GREENWOOD,United States of America
GWT,WESTERLAND,Germany
GWY,GALWAY,Ireland
GXF,SAYUN,Yemen
GXG,NEGAGE,Angola
GXQ,COYHAIQUE,Chile
GXX,YAGOUA,Cameroon
GXY,GREELEY,United States of America
GYA,GUAYARAMERIN,Bolivia
GYE,GUAYAQUIL,Ecuador
GYI,GISENYI,Rwanda
GYL,ARGYLE,Australia
GYM,GUAYMAS,Mexico
GYN,GOIANIA,Brazil
GYP,GYMPIE,Australia
GYS,GUANGYUAN,"China, People’s Republic of"
GYU,GUYUAN,"China, People’s Republic of"
GZA,GAZA CITY,Palestinian Territory
GZM,GOZO,Malta
GZO,GIZO,Solomon Islands
GZP,GAZIPASA,Turkey
GZT,GAZIANTEP,Turkey
HAA,HASVIK,Norway
HAC,HACHIJOJIMA,Japan
HAD,HALMSTAD,Sweden
HAJ,HANOVER,Germany
HAK,HAIKOU,"China, People’s Republic of"
HAM,HAMBURG,Germany
HAN,HANOI,Vietnam
HAP,LONG ISLAND/HAPPY BAY,Australia
HAQ,HANIMAADHOO ISLAND,Maldives
HAR,HARRISBURG,United States of America
HAS,HAIL,Saudi Arabia
HAU,HAUGESUND,Norway
HAV,HAVANA,Cuba
HAW,HAVERFORDWEST,United Kingdom
HAY,HAYCOCK,United States of America
HAZ,HATZFELDTHAVEN,Papua New Guinea
HBA,HOBART,Australia
HBH,ENTRANCE ISLAND,United States of America
HBQ,QILIAN,"China, People’s Republic of"
HBT,HAFR ALBATIN,Saudi Arabia
HBX,HUBLI,India (including Andaman Isl.)
HCA,BIG SPRING,United States of America
HCB,SHOAL COVE,United States of America
HCN,HENGCHUN,Chinese Taipei
HCQ,HALLS CREEK,Australia
HCR,HOLY CROSS,United States of America
HCW,CHERAW,United States of America
HDA,HIDDEN FALLS,United States of America
HDB,HEIDELBERG,Germany
HDD,HYDERABAD,Pakistan
HDF,HERINGSDORF,Germany
HDG,HANDAN,"China, People’s Republic of"
HDM,HAMADAN,Iran (Islamic Republic of)
HDN,HAYDEN,United States of America
HDS,HOEDSPRUIT,South Africa
HDY,HAT YAI,Thailand
HEA,HERAT,Afghanistan
HEH,HEHO,Myanmar
HEI,HEIDE/BUSUM,Germany
HEK,HEIHE,"China, People’s Republic of"
HEL,HELSINKI,Finland
HEO,HAELOGO,Papua New Guinea
HER,IRAKLEION,Greece
HET,HOHHOT,"China, People’s Republic of"
HEZ,NATCHEZ,United States of America
HFA,HAIFA,Israel
HFD,HARTFORD,United States of America
HFE,HEFEI,"China, People’s Republic of"
HFN,HORNAFJORDUR,Iceland
HFS,HAGFORS,Sweden
HFT,HAMMERFEST,Norway
HGA,HARGEISA,Somalia
HGD,HUGHENDEN,Australia
HGH,HANGZHOU,"China, People’s Republic of"
HGL,HELGOLAND,Germany
HGN,MAE HONG SON,Thailand
HGO,KORHOGO,Cote d’Ivoire
HGR,HAGERSTOWN,United States of America
HGU,MOUNT HAGEN,Papua New Guinea
HHH,HILTON HEAD,United States of America
HHQ,HUA HIN,Thailand
HHZ,HIKUERU,French Polynesia
HIA,HUAI'AN,"China, People’s Republic of"
HIB,CHISHOLM,United States of America
HIB,HIBBING,United States of America
HID,HORN ISLAND,Australia
HII,LAKE HAVASU CITY,United States of America
HIJ,HIROSHIMA,Japan
HIL,SHILABO,Ethiopia
HIN,JINJU,Korea (Rep. of)
HIP,HEADINGLY,Australia
HIR,HONIARA,Solomon Islands
HIS,HAYMAN ISLAND,Australia
HIT,HIVARO,Papua New Guinea
HIX,HIVA OA,French Polynesia
HJJ,HUAIHUA,"China, People’s Republic of"
HJR,KHAJURAHO,India (including Andaman Isl.)
HKB,HEALY LAKE,United States of America
HKD,HAKODATE,Japan
HKG,HONG KONG,"Hong Kong (SAR), China"
HKK,HOKITIKA,New Zealand
HKN,HOSKINS,Papua New Guinea
HKT,PHUKET,Thailand
HKY,HICKORY,United States of America
HLD,HAILAR,"China, People’s Republic of"
HLE,JAMESTOWN,St. Helena
HLF,HULTSFRED/VIMMERBY,Sweden
HLG,WHEELING,United States of America
HLH,ULANHOT,"China, People’s Republic of"
HLN,HELENA,United States of America
HLT,HAMILTON,Australia
HLU,HOUAILOU,New Caledonia (including Loyalty Islands)
HLV,HELENVALE,Australia
HLZ,HAMILTON,New Zealand
HMA,KHANTY-MANSIYSK,Russia (in Asia)
HMB,SOHAG,Egypt
HME,HASSI MESSAOUD,Algeria
HMJ,KHMELNYTSKYI,Ukraine
HMO,HERMOSILLO,Mexico
HMR,HAMAR,Norway
HMV,HEMAVAN/TARNABY,Sweden
HNA,HANAMAKI,Japan
HNG,HIENGHENE,New Caledonia (including Loyalty Islands)
HNH,HOONAH,United States of America
HNI,HEIWENI,Papua New Guinea
HNK,HINCHINBROOK ISLAND,Australia
HNL,HONOLULU,United States of America
HNM,HANA,United States of America
HNS,HAINES,United States of America
HNY,HENGYANG,"China, People’s Republic of"
HOB,HOBBS,United States of America
HOC,KOMAKO,Papua New Guinea
HOD,HODEIDAH,Yemen
HOE,HOUEISAY,Lao People’s Dem. Rep.
HOF,HOFUF,Saudi Arabia
HOG,HOLGUIN,Cuba
HOH,HOHENEMS/DORNBIRN,Austria
HOI,HAO,French Polynesia
HOK,LAJAMANU,Australia
HOM,HOMER,United States of America
HON,HURON,United States of America
HOQ,HOF,Germany
HOR,HORTA,Portugal (including Azores & Madeira)
HOS,CHOS MALAL,Argentina
HOT,HOT SPRINGS,United States of America
HOU,HOUSTON,United States of America
HOV,ORSTA-VOLDA,Norway
HOX,HOMALIN,Myanmar
HOY,HOY,United Kingdom
HPA,HA'APAI,Tonga
HPB,HOOPER BAY,United States of America
HPE,HOPEVALE,Australia
HPG,SHENNONGJIA,"China, People’s Republic of"
HPH,HAIPHONG,Vietnam
HPN,WESTCHESTER COUNTY,United States of America
HPN,WHITE PLAINS,United States of America
HQM,HOQUIAM,United States of America
HRB,HARBIN,"China, People’s Republic of"
HRE,HARARE,Zimbabwe
HRG,HURGHADA,Egypt
HRK,KHARKIV,Ukraine
HRL,HARLINGEN,United States of America
HRM,HASSI R'MEL,Algeria
HRO,HARRISON,United States of America
HRS,HARRISMITH,South Africa
HRZ,HORIZONTINA,Brazil
HSG,SAGA,Japan
HSI,HASTINGS,United States of America
HSK,HUESCA,Spain and Canary Islands
HSL,HUSLIA,United States of America
HSN,ZHOUSHAN,"China, People’s Republic of"
HSP,HOT SPRINGS,United States of America
HSV,HUNTSVILLE,United States of America
HSZ,HSINCHU,Chinese Taipei
HTA,CHITA,Russia (in Asia)
HTB,TERRE-DE-BAS,Guadeloupe
HTG,KHATANGA,Russia (in Asia)
HTI,HAMILTON ISLAND,Australia
HTN,HOTAN,"China, People’s Republic of"
HTO,EAST HAMPTON,United States of America
HTR,HATERUMA,Japan
HTS,ASHLAND,United States of America
HTS,HUNTINGTON,United States of America
HTT,HUATUGOU,"China, People’s Republic of"
HTU,HOPETOUN,Australia
HTY,HATAY,Turkey
HTZ,HATO COROZAL,Colombia
HUC,HUMACAO,Puerto Rico
HUE,HUMERA,Ethiopia
HUF,TERRE HAUTE,United States of America
HUH,HUAHINE,French Polynesia
HUI,HUE,Vietnam
HUN,HUALIEN,Chinese Taipei
HUQ,HON,Libya
HUS,HUGHES,United States of America
HUT,HUTCHINSON,United States of America
HUU,HUANUCO,Peru
HUV,HUDIKSVALL,Sweden
HUX,HUATULCO,Mexico
HUY,HUMBERSIDE,United Kingdom
HUZ,HUIZHOU,"China, People’s Republic of"
HVA,ANALALAVA,Madagascar
HVB,HERVEY BAY,Australia
HVD,KHOVD,Mongolia
HVG,HONNINGSVAG,Norway
HVK,HOLMAVIK,Iceland
HVM,HVAMMSTANGI,Iceland
HVN,NEW HAVEN,United States of America
HVR,HAVRE,United States of America
HWA,HAWABANGO,Papua New Guinea
HWI,HAWK INLET,United States of America
HWK,HAWKER,Australia
HWN,HWANGE NATIONAL PARK,Zimbabwe
HXD,DELINGHA,"China, People’s Republic of"
HXX,HAY,Australia
HYA,HYANNIS,United States of America
HYD,HYDERABAD,India (including Andaman Isl.)
HYF,HAYFIELDS,Papua New Guinea
HYG,HYDABURG,United States of America
HYL,HOLLIS,United States of America
HYN,TAIZHOU,"China, People’s Republic of"
HYR,HAYWARD,United States of America
HYS,HAYS,United States of America
HZG,HANZHONG,"China, People’s Republic of"
HZK,HUSAVIK,Iceland
HZL,HAZLETON,United States of America
IAA,IGARKA,Russia (in Asia)
IAG,NIAGARA FALLS,United States of America
IAM,IN AMENAS,Algeria
IAN,KIANA,United States of America
IAO,DEL CARMEN (SIARGAO),Philippines
IAS,IASI,Romania
IAU,IAURA,Papua New Guinea
IBA,IBADAN,Nigeria
IBE,IBAGUE,Colombia
IBI,IBOKI,Papua New Guinea
IBR,IBARAKI,Japan
IBZ,IBIZA,Spain and Canary Islands
ICA,ICABARU,Venezuela
ICI,CICIA ISLAND,Fiji
ICK,NIEUW NICKERIE,Suriname
ICR,NICARO,Cuba
ICT,WICHITA,United States of America
IDA,IDAHO FALLS,United States of America
IDB,IDRE,Sweden
IDI,INDIANA,United States of America
IDK,INDULKANA,Australia
IDN,INDAGEN,Papua New Guinea
IDO,SANTA ISABEL DO MORRO,Brazil
IDR,INDORE,India (including Andaman Isl.)
IDY,ILE D'YEU,France
IEG,ZIELONA GORA,Poland
IEJ,IEJIMA,Japan
IEV,KIEV,Ukraine
IFF,IFFLEY,Australia
IFJ,ISAFJORDUR,Iceland
IFL,INNISFAIL,Australia
IFN,ESFAHAN,Iran (Islamic Republic of)
IFO,IVANO-FRANKIVSK,Ukraine
IFP,BULLHEAD CITY,United States of America
IGA,INAGUA,Bahamas
IGB,INGENIERO JACOBACCI,Argentina
IGD,IGDIR,Turkey
IGG,IGIUGIG,United States of America
IGH,INGHAM,Australia
IGM,KINGMAN,United States of America
IGN,ILIGAN,Philippines
IGO,CHIGORODO,Colombia
IGR,IGUAZU,Argentina
IGT,MAGAS,Russia (in Europe)
IGU,FOZ DO IGUACU,Brazil
IHN,QISHN,Yemen
IHO,IHOSY,Madagascar
IHR,IRANSHAHR,Iran (Islamic Republic of)
IHU,IHU,Papua New Guinea
IIA,INISHMAAN,Ireland
IIL,ILAM,Iran (Islamic Republic of)
IIS,NISSAN ISLAND,Papua New Guinea
IJK,IZHEVSK,Russia (in Europe)
IJU,IJUI,Brazil
IKI,IKI,Japan
IKL,IKELA,"Congo, Democratic Republic of"
IKO,NIKOLSKI,United States of America
IKP,INKERMAN,Australia
IKS,TIKSI,Russia (in Asia)
IKT,IRKUTSK,Russia (in Asia)
IKU,TAMCHY,Kyrgyzstan
ILA,ILLAGA,Indonesia
ILD,LLEIDA,Spain and Canary Islands
ILE,KILLEEN/FORT HOOD,United States of America
ILF,ILFORD,Canada
ILG,WILMINGTON,United States of America
ILI,ILIAMNA,United States of America
ILM,WILMINGTON,United States of America
ILN,WILMINGTON,United States of America
ILO,ILOILO,Philippines
ILP,ILE DES PINS,New Caledonia (including Loyalty Islands)
ILQ,ILO,Peru
ILR,ILORIN,Nigeria
ILY,ISLAY,United Kingdom
ILZ,ZILINA,Slovak Republic
IMA,IAMALELE,Papua New Guinea
IMB,IMBAIMADAI,Guyana
IMD,IMONDA,Papua New Guinea
IMF,IMPHAL,India (including Andaman Isl.)
IMI,INE ISLAND,Marshall Islands
IMK,SIMIKOT,Nepal
IMO,ZEMIO,Central African Rep.
IMP,IMPERATRIZ,Brazil
IMT,IRON MOUNTAIN,United States of America
INC,YINCHUAN,"China, People’s Republic of"
IND,INDIANAPOLIS,United States of America
INF,IN GUEZZAM,Algeria
ING,LAGO ARGENTINO,Argentina
INH,INHAMBANE,Mozambique
INI,NIS,Serbia
INL,INTERNATIONAL FALLS,United States of America
INM,INNAMINCKA,Australia
INN,INNSBRUCK,Austria
INO,INONGO,"Congo, Democratic Republic of"
INQ,INISHEER,Ireland
INT,WINSTON SALEM,United States of America
INU,NAURU ISLAND,Nauru
INV,INVERNESS,United Kingdom
INW,WINSLOW,United States of America
INZ,IN SALAH,Algeria
IOA,IOANNINA,Greece
IOK,IOKEA,Papua New Guinea
IOM,ISLE OF MAN,United Kingdom
ION,IMPFONDO,Congo
IOP,IOMA,Papua New Guinea
IOR,INISHMORE,Ireland
IOS,ILHEUS,Brazil
IOU,ILE OUEN,New Caledonia (including Loyalty Islands)
IPA,IPOTA,Vanuatu
IPC,EASTER ISLAND,Chile
IPE,IPIL,Philippines
IPG,IPIRANGA,Brazil
IPH,IPOH,Malaysia
IPI,IPIALES,Colombia
IPL,EL CENTRO,United States of America
IPL,IMPERIAL,United States of America
IPN,IPATINGA,Brazil
IPT,WILLIAMSPORT,United States of America
IPW,IPSWICH,United Kingdom
IPZ,SAN ISIDRO DE EL GENERAL,Costa Rica
IQM,QIEMO,"China, People’s Republic of"
IQN,QINGYANG,"China, People’s Republic of"
IQQ,IQUIQUE,Chile
IQT,IQUITOS,Peru
IRA,KIRAKIRA,Solomon Islands
IRC,CIRCLE,United States of America
IRD,ISHURDI,Bangladesh
IRG,LOCKHART RIVER,Australia
IRI,IRINGA,Tanzania
IRJ,LA RIOJA,Argentina
IRK,KIRKSVILLE,United States of America
IRM,IGRIM,Russia (in Asia)
IRO,BIRAO,Central African Rep.
IRP,ISIRO,"Congo, Democratic Republic of"
ISA,MOUNT ISA,Australia
ISB,ISLAMABAD,Pakistan
ISC,ISLES OF SCILLY,United Kingdom
ISE,ISPARTA,Turkey
ISG,ISHIGAKI,Japan
ISH,ISCHIA,Italy
ISI,ISISFORD,Australia
ISJ,ISLA MUJERES,Mexico
ISK,NASIK,India (including Andaman Isl.)
ISM,KISSIMMEE,United States of America
ISN,WILLISTON,United States of America
ISO,KINSTON,United States of America
ISP,ISLIP,United States of America
IST,ISTANBUL,Turkey
ISU,SULAYMANIYAH,Iraq
ISW,WISCONSIN RAPIDS,United States of America
ITB,ITAITUBA,Brazil
ITH,ITHACA,United States of America
ITI,ITAMBACURI,Brazil
ITK,ITOKAMA,Papua New Guinea
ITN,ITABUNA,Brazil
ITO,HILO,United States of America
ITQ,ITAQUI,Brazil
IUE,NIUE ISLAND,Niue
IUL,ILU,Indonesia
IUS,INUS,Papua New Guinea
IVA,AMBANJA,Madagascar
IVC,INVERCARGILL,New Zealand
IVL,IVALO,Finland
IVR,INVERELL,Australia
IVW,INVERWAY,Australia
IWA,IVANOVO,Russia (in Europe)
IWD,IRONWOOD,United States of America
IWJ,MASUDA,Japan
IWK,IWAKUNI,Japan
IXA,AGARTALA,India (including Andaman Isl.)
IXB,BAGDOGRA,India (including Andaman Isl.)
IXC,CHANDIGARH,India (including Andaman Isl.)
IXD,ALLAHABAD,India (including Andaman Isl.)
IXE,MANGALORE,India (including Andaman Isl.)
IXG,BELGAUM,India (including Andaman Isl.)
IXH,KAILASHAHAR,India (including Andaman Isl.)
IXI,LILABARI,India (including Andaman Isl.)
IXJ,JAMMU,India (including Andaman Isl.)
IXK,KESHOD,India (including Andaman Isl.)
IXL,LEH,India (including Andaman Isl.)
IXM,MADURAI,India (including Andaman Isl.)
IXP,PATHANKOT,India (including Andaman Isl.)
